"title","total_payment"
"CHOCOLAT HARRY",52.8
"NOVOCAINE FLIGHT",52.81
"FREAKY POCUS",52.83
"GRADUATE LORD",52.84
"ALLEY EVOLUTION",52.86
"MADRE GABLES",52.86
"SHRUNK DIVINE",52.86
"EXORCIST STING",52.87
"GRAIL FRANKENSTEIN",52.9
"RIGHT CRANES",52.9
"SENSIBILITY REAR",52.9
"REDS POCUS",52.91
"VANILLA DAY",52.91
"CASPER DRAGONFLY",52.92
"ACE GOLDFINGER",52.93
"EFFECT GLADIATOR",53.75
"SUN CONFESSIONS",53.75
"SLEUTH ORIENT",53.79
"REUNION WITCHES",53.8
"ROUGE SQUAD",53.82
"HUNTING MUSKETEERS",53.85
"SCISSORHANDS SLUMS",53.85
"FRISCO FORREST",53.91
"NUTS TIES",53.91
"GO PURPLE",54.8
"ALI FOREVER",54.91
"MONSOON CAUSE",54.91
"MAGNIFICENT CHITTY",54.92
"DANCING FEVER",55.73
"GUNFIGHT MOON",55.76
"SLUMS DUCK",55.76
"GREEK EVERYONE",55.83
"UNITED PILOT",55.83
"PATRIOT ROMAN",55.84
"DIRTY ACE",55.85
"ANALYZE HOOSIERS",55.86
"SHANE DARKNESS",55.86
"PURPLE MOVIE",55.87
"BUGSY SONG",55.89
"IRON MOON",55.89
"WONDERFUL DROP",55.91
"GRAPES FURY",56.77
"CREATURES SHAKESPEARE",56.84
"BOWFINGER GABLES",56.89
"FUGITIVE MAGUIRE",56.89
"ELEMENT FREDDY",56.9
"STRAIGHT HOURS",57.8
"GABLES METROPOLIS",57.81
"RIVER OUTLAW",57.81
"ENOUGH RAGING",57.82
"RACER EGG",57.82
"PERFECT GROOVE",57.83
"PILOT HOOSIERS",57.84
"SIERRA DIVIDE",57.85
"DOUBTFIRE LABYRINTH",57.9
"LAMBS CINCINATTI",57.9
"GUYS FALCON",57.91
"KARATE MOON",58.77
"DALMATIONS SWEDEN",58.8
"FICTION CHRISTMAS",58.81
"HEAVEN FREEDOM",58.82
"MUMMY CREATURES",58.84
"WILLOW TRACY",58.84
"VALLEY PACKER",58.85
"TRAINSPOTTING STRANGERS",58.89
"SMILE EARRING",58.9
"MOCKINGBIRD HOLLYWOOD",59.76
"ANNIE IDENTITY",59.78
"FIGHT JAWBREAKER",59.78
"OUTFIELD MASSACRE",59.8
"NEMO CAMPUS",59.86
"IDENTITY LOVER",59.87
"BORN SPINAL",59.88
"MASSAGE IMAGE",59.88
"WINDOW SIDE",59.88
"MADIGAN DORADO",59.9
"TIGHTS DAWN",60.74
"PACKER MADIGAN",60.78
"ANACONDA CONFESSIONS",60.79
"FIREBALL PHILADELPHIA",60.79
"UPRISING UPTOWN",60.84
"CIRCUS YOUTH",60.85
"SPARTACUS CHEAPER",60.91
"PARK CITIZEN",60.92
"KICK SAVANNAH",61.8
"STATE WASTELAND",61.88
"MOD SECRETARY",61.89
"DYNAMITE TARZAN",62.75
"PACIFIC AMISTAD",62.76
"WRONG BEHAVIOR",62.8
"CIDER DESIRE",62.81
"EARRING INSTINCT",62.81
"ALONE TRIP",62.82
"JADE BUNCH",62.82
"GASLIGHT CRUSADE",62.84
"REAP UNFAITHFUL",62.84
"LOVER TRUMAN",62.9
"HANDICAP BOONDOCK",63.72
"LOATHING LEGALLY",63.73
"FURY MURDER",63.81
"BOULEVARD MOB",63.82
"MASK PEACH",63.83
"JAWS HARRY",63.86
"BIRD INDEPENDENCE",63.89
"OCTOBER SUBMARINE",63.89
"GILMORE BOILED",64.72
"POND SEATTLE",64.81
"BEACH HEARTBREAKERS",64.83
"DIVINE RESURRECTION",64.85
"MANCHURIAN CURTAIN",64.85
"NASH CHOCOLAT",64.85
"LOST BIRD",64.88
"FIDDLER LOST",64.9
"CLONES PINOCCHIO",65.81
"LOVELY JINGLE",65.86
"CHAMBER ITALIAN",65.88
"MEET CHOCOLATE",65.88
"WAR NOTTING",65.88
"NORTH TEQUILA",65.89
"OPUS ICE",65.89
"BAREFOOT MANCHURIAN",66.82
"WONKA SEA",66.82
"OPPOSITE NECKLACE",66.87
"DANGEROUS UPTOWN",66.88
"TWISTED PIRATES",66.89
"KING EVOLUTION",66.91
"ORANGE GRAPES",67.76
"DIVIDE MONSTER",67.79
"EXCITEMENT EVE",67.79
"BILL OTHERS",67.81
"AMELIE HELLFIGHTERS",67.9
"DETECTIVE VISION",68.73
"CHICKEN HELLFIGHTERS",68.78
"HONEY TIES",68.81
"NOON PAPI",68.83
"FLIGHT LIES",68.88
"GUNFIGHTER MUSSOLINI",68.88
"POLLOCK DELIVERANCE",69.81
"DRIVER ANNIE",69.82
"ARTIST COLDBLOODED",69.84
"MOTHER OLEANDER",69.86
"DAUGHTER MADIGAN",69.91
"FAMILY SWEET",70.7
"RUGRATS SHAKESPEARE",70.7
"AMISTAD MIDSUMMER",70.79
"DINOSAUR SECRETARY",70.8
"TURN STAR",70.86
"JINGLE SAGEBRUSH",70.87
"SATURN NAME",70.87
"USUAL UNTOUCHABLES",70.87
"TEMPLE ATTRACTION",70.88
"SWARM GOLD",71.73
"CHARIOTS CONSPIRACY",71.79
"BRINGING HYSTERICAL",71.8
"ALABAMA DEVIL",71.88
"CARIBBEAN LIBERTY",71.91
"HILLS NEIGHBORS",72.75
"SNOWMAN ROLLERCOASTER",72.77
"LEBOWSKI SOLDIERS",72.79
"NEIGHBORS CHARADE",72.81
"INSTINCT AIRPORT",72.82
"EGYPT TENENBAUMS",72.83
"POTTER CONNECTICUT",72.83
"GAMES BOWFINGER",72.86
"PAST SUICIDES",72.87
"WYOMING STORM",72.87
"CASUALTIES ENCINO",72.91
"MADNESS ATTACKS",73.75
"SINNERS ATLANTIS",73.78
"DOOM DANCING",73.79
"INSIDER ARIZONA",73.8
"FANTASIA PARK",73.81
"REMEMBER DIARY",73.82
"ZOOLANDER FICTION",73.83
"WORST BANGER",73.84
"OUTLAW HANKY",73.86
"CHISUM BEHAVIOR",73.87
"THIN SAGEBRUSH",73.89
"DOUBLE WRATH",74.75
"HOUSE DYNAMITE",74.77
"HOMICIDE PEACH",74.78
"LUST LOCK",74.82
"WEEKEND PERSONAL",74.82
"IMPOSSIBLE PREJUDICE",74.86
"BRANNIGAN SUNRISE",74.88
"BIRCH ANTITRUST",74.89
"HOPE TOOTSIE",75.82
"CONFESSIONS MAGUIRE",75.86
"HOLES BRANNIGAN",75.86
"SEARCHERS WAIT",75.86
"DADDY PITTSBURGH",75.87
"LIBERTY MAGNIFICENT",75.88
"STRANGER STRANGERS",75.89
"FROST HEAD",76.7
"BADMAN DAWN",76.79
"MADISON TRAP",76.85
"BLINDNESS GUN",76.86
"GRINCH MASSAGE",76.86
"IMAGE PRINCESS",76.86
"TUXEDO MILE",76.87
"BEAST HUNCHBACK",76.89
"MALLRATS UNITED",77.75
"CROSSROADS CASUALTIES",77.79
"HARPER DYING",77.8
"QUEST MUSSOLINI",77.8
"JACKET FRISCO",77.82
"BOILED DARES",77.85
"LONELY ELEPHANT",77.85
"BERETS AGENT",78.78
"INTENTIONS EMPIRE",78.83
"WEREWOLF LOLA",78.86
"JUMPING WRATH",79.76
"OTHERS SOUP",79.77
"TROUBLE DATE",79.78
"PARADISE SABRINA",79.82
"FERRIS MOTHER",79.83
"BAKED CLEOPATRA",79.84
"SONS INTERVIEW",79.84
"HOME PITY",79.86
"VAMPIRE WHALE",79.88
"ESCAPE METROPOLIS",80.75
"IDAHO LOVE",80.83
"ORIENT CLOSER",80.83
"CHARADE DUFFEL",80.85
"HUMAN GRAFFITI",80.85
"DEEP CRUSADE",80.86
"TIES HUNGER",80.89
"HOBBIT ALIEN",81.69
"GRAFFITI LOVE",81.7
"LOSE INCH",81.73
"GOLDFINGER SENSIBILITY",81.76
"WEDDING APOLLO",81.76
"GENTLEMEN STAGE",81.77
"DREAM PICKUP",81.78
"TROJAN TOMORROW",81.8
"SWEET BROTHERHOOD",81.85
"PATHS CONTROL",81.9
"SHAKESPEARE SADDLE",82.78
"UNBREAKABLE KARATE",82.79
"NATIONAL STORY",82.81
"CASABLANCA SUPER",82.84
"WORDS HUNTER",82.84
"AIRPLANE SIERRA",82.85
"HOLIDAY GAMES",82.85
"CREEPERS KANE",82.86
"DARKO DORADO",82.89
"OSCAR GOLD",83.75
"WAIT CIDER",83.79
"FLYING HOOK",83.8
"EYES DRIVING",83.81
"CAROL TEXAS",83.82
"DEVIL DESIRE",83.85
"CALIFORNIA BIRDS",83.88
"NONE SPIKING",84.73
"MALKOVICH PET",84.74
"DOWNHILL ENOUGH",84.75
"MURDER ANTITRUST",84.77
"BLUES INSTINCT",84.79
"COMFORTS RUSH",84.83
"PEACH INNOCENT",84.85
"RAGING AIRPLANE",84.87
"AUTUMN CROW",84.89
"CONTACT ANONYMOUS",85.74
"ISLAND EXORCIST",85.74
"TRACY CIDER",85.74
"CLASH FREDDY",85.75
"HURRICANE AFFAIR",85.76
"ANTHEM LUKE",85.85
"STEERS ARMAGEDDON",85.85
"CHAMPION FLATLINERS",85.87
"STRANGELOVE DESIRE",86.76
"STAR OPERATION",86.79
"JEKYLL FROGMEN",86.83
"JEEPERS WEDDING",86.84
"LAWLESS VISION",86.84
"WANDA CHAMBER",86.84
"SUPER WYOMING",86.87
"HORROR REIGN",87.73
"OPERATION OPERATION",87.73
"ATLANTIS CAUSE",87.76
"NORTHWEST POLISH",87.8
"FORREST SONS",87.82
"VANISHING ROCKY",87.82
"HYSTERICAL GRAIL",87.85
"CINCINATTI WHISPERER",87.87
"RUSH GOODFELLAS",88.69
"PLUTO OLEANDER",88.84
"LOSER HUSTLER",88.85
"PANTHER REDS",88.85
"SUBMARINE BED",88.85
"MEMENTO ZOOLANDER",88.87
"MOONWALKER FOOL",88.87
"PITTSBURGH HUNCHBACK",88.88
"DISTURBING SCARFACE",89.74
"CHICAGO NORTH",89.84
"COLDBLOODED DARLING",89.84
"ELEPHANT TROJAN",89.86
"ALIEN CENTER",90.78
"FLATLINERS KILLER",90.78
"BASIC EASY",90.79
"CAMPUS REMEMBER",90.81
"CONNECTICUT TRAMP",90.87
"BLACKOUT PRIVATE",91.73
"HALF OUTFIELD",91.75
"TELEMARK HEARTBREAKERS",91.75
"AFFAIR PREJUDICE",91.77
"SLACKER LIAISONS",91.83
"SAGEBRUSH CLUELESS",91.84
"BETRAYED REAR",91.85
"SILVERADO GOLDFINGER",91.88
"SLEEPY JAPANESE",92.8
"MUSKETEERS WAIT",92.83
"PURE RUNNER",92.84
"EDGE KISSING",92.85
"BRIGHT ENCOUNTERS",92.87
"FLASH WARS",92.87
"WARDROBE PHANTOM",93.73
"COLOR PHILADELPHIA",93.76
"DARN FORRESTER",93.82
"DYING MAKER",93.83
"VIRGIN DAISY",93.83
"MODEL FISH",93.85
"SPY MILE",94.73
"GOLD RIVER",94.86
"MUSCLE BRIGHT",95.7
"SEABISCUIT PUNK",95.74
"OZ LIAISONS",95.76
"INCH JET",95.82
"DAISY MENAGERIE",95.84
"JUGGLER HARDLY",96.68
"DEER VIRGINIAN",96.72
"BARBARELLA STREETCAR",96.75
"VACATION BOONDOCK",96.79
"CANDIDATE PERDITION",96.81
"DESTINY SATURDAY",96.84
"EXPENDABLE STALLION",97.72
"SEA VIRGIN",97.78
"HELLFIGHTERS SIERRA",97.8
"WIZARD COLDBLOODED",97.84
"MARRIED GO",98.7
"SWEETHEARTS SUSPECTS",98.71
"BALLOON HOMEWARD",98.77
"BIKINI BORROWERS",98.83
"HANOVER GALAXY",98.83
"JERICHO MULAN",98.83
"HALL CASSIDY",98.84
"PICKUP DRIVING",98.84
"SHOCK CABIN",99.7
"IGBY MAKER",99.81
"CONQUERER NUTS",99.84
"MERMAID INSECTS",99.84
"ICE CROSSING",100.76
"JASON TRAP",100.76
"POSEIDON FOREVER",100.83
"QUILLS BULL",100.84
"BEHAVIOR RUNAWAY",100.87
"CAMELOT VACATION",101.73
"BROTHERHOOD BLANKET",101.74
"ATTACKS HATE",101.84
"PAYCHECK WAIT",101.84
"RULES HUMAN",101.84
"PATTON INTERVIEW",102.77
"AIRPORT POLLOCK",102.82
"GROUNDHOG UNCUT",102.82
"CONFUSED CANDLES",102.83
"FRENCH HOLIDAY",102.83
"BILKO ANONYMOUS",102.87
"ENGLISH BULWORTH",103.7
"INVASION CYCLONE",103.73
"METAL ARMAGEDDON",103.75
"CORE SUIT",103.82
"DRAGONFLY STRANGERS",103.82
"TYCOON GATHERING",103.88
"HYDE DOCTOR",104.73
"ARIZONA BANG",104.79
"STEPMOM DREAM",104.8
"WEST LION",104.84
"ROBBERS JOON",105.69
"EGG IGBY",105.79
"PEAK FOREVER",105.8
"GORGEOUS BINGO",105.81
"LEAGUE HELLFIGHTERS",105.83
"SUGAR WONKA",105.83
"GIANT TROOPERS",106.72
"CUPBOARD SINNERS",106.77
"SALUTE APOLLO",106.77
"FATAL HAUNTED",107.72
"BEAR GRACELAND",107.78
"SOUTH WAIT",107.78
"JERK PAYCHECK",107.8
"COMMAND DARLING",107.84
"ROCKY WAR",107.84
"FISH OPUS",108.75
"SAMURAI LION",108.75
"GREATEST NORTH",109.71
"JET NEIGHBORS",109.8
"SHAWSHANK BUBBLE",109.81
"BREAKFAST GOLDFINGER",109.83
"DAY UNFAITHFUL",109.86
"GRIT CLOCKWORK",110.68
"TOMORROW HUSTLER",110.75
"REIGN GENTLEMEN",110.8
"CHASING FIGHT",110.81
"REQUIEM TYCOON",110.81
"EXPECATIONS NATURAL",110.82
"DUDE BLINDNESS",110.84
"PANKY SUBMARINE",110.85
"FARGO GANDHI",111.76
"MONEY HAROLD",111.8
"SWEDEN SHINING",111.81
"BIRDS PERDITION",111.82
"GANGS PRIDE",112.73
"CLUELESS BUCKET",112.75
"HORN WORKING",112.76
"SECRETARY ROUGE",112.82
"STRICTLY SCARFACE",113.77
"OPEN AFRICAN",113.79
"REDEMPTION COMFORTS",113.8
"HANGING DEEP",113.81
"IDOLS SNATCHERS",114.7
"ARACHNOPHOBIA ROLLERCOASTER",114.76
"UNDEFEATED DALMATIONS",114.79
"CONVERSATION DOWNHILL",114.83
"BEVERLY OUTLAW",115.79
"DRIVING POLISH",115.79
"PREJUDICE OLEANDER",115.8
"SPICE SORORITY",115.8
"GALAXY SWEETHEARTS",115.82
"ROCKETEER MOTHER",116.67
"HANKY OCTOBER",116.74
"KNOCK WARLOCK",116.76
"BROOKLYN DESERT",116.79
"SECRET GROUNDHOG",116.79
"THIEF PELICAN",117.81
"VIRTUAL SPOILERS",117.86
"PHILADELPHIA WIFE",118.78
"DESERT POSEIDON",118.81
"LADY STAGE",118.83
"WASH HEAVENLY",119.77
"ANGELS LIFE",119.78
"GHOST GROUNDHOG",119.79
"RAGE GAMES",119.81
"HIGH ENCINO",120.78
"SCARFACE BANG",120.82
