"title","category_name","total_earnings","average_payment"
"WITCHES PANIC","Drama",173.7,5.79
"CLOSER BANG","Comedy",172.72,6.168571428571429
"SCALAWAG DUCK","Music",172.68,5.39625
"ROSES TREASURE","Sports",171.72,6.132857142857143
"SUNRISE LEAGUE","Animation",170.76,7.115
"SHOW LORD","Documentary",170.75,6.83
"NIGHTMARE CHILL","Games",169.75,6.79
"SCORPION APOLLO","Drama",168.77,7.337826086956522
"AMERICAN CIRCUS","Action",167.78,7.626363636363636
"CONFIDENTIAL INTERVIEW","Music",164.71,5.679655172413793
"MAIDEN HOME","New",163.76,6.823333333333333
"SEATTLE EXPECATIONS","Drama",163.75,6.822916666666667
"WORKING MICROCOSMOS","Travel",163.75,6.55
"BOOGIE AMELIE","Music",163.7,5.644827586206897
"STING PERSONAL","New",159.79,7.609047619047619
"LOLA AGENT","Horror",159.76,6.656666666666666
"BACKLASH UNDEFEATED","Children",158.81,8.358421052631579
"MIDSUMMER GROUNDHOG","Documentary",156.78,7.126363636363636
"TITANIC BOONDOCK","Animation",154.77,6.729130434782609
"STAGECOACH ARMAGEDDON","Action",154.74,5.951538461538462
"MINE TITANS","New",153.81,8.095263157894736
"PITY BOUND","Drama",153.74,5.913076923076923
"SECRETS PARADISE","Family",152.8,7.64
"EAGLES PANKY","New",152.78,6.944545454545454
"HEAD STRANGER","Games",152.78,6.944545454545454
"WHISPERER GIANT","Sci-Fi",151.78,6.899090909090909
"EASY GLADIATOR","Action",150.77,6.555217391304348
"MINDS TRUMAN","Action",149.8,7.49
"FELLOWSHIP AUTUMN","Travel",149.74,5.759230769230769
"WONDERLAND CHRISTMAS","Sci-Fi",148.78,6.762727272727273
"STREETCAR INTENTIONS","Horror",148.75,5.95
"KISSING DOLLS","Action",147.8,7.39
"SUIT WALLS","Games",147.79,7.037619047619048
"TRADING PINOCCHIO","Sports",147.75,5.91
"LIES TREATMENT","Drama",147.73,5.471481481481481
"ATTRACTION NEWTON","New",146.76,6.115
"FORRESTER COMANCHEROS","Animation",146.73,5.434444444444444
"MOVIE SHAKESPEARE","Family",145.74,5.397777777777778
"TRIP NEWTON","Action",145.72,5.204285714285715
"GARDEN ISLAND","Sci-Fi",144.8,7.24
"DURHAM PANKY","Sports",144.74,5.566923076923077
"PRINCESS GIANT","Documentary",142.74,5.286666666666667
"CALENDAR GUNFIGHT","Foreign",141.79,6.751904761904762
"MOONSHINE CABIN","Games",141.79,6.751904761904762
"TOURIST PELICAN","Sports",141.78,6.444545454545454
"STEEL SANTA","Classics",141.77,6.163913043478261
"DRIFTER COMMANDMENTS","Action",141.76,5.906666666666666
"CHANCE RESURRECTION","Sports",141.73,5.24925925925926
"FLAMINGOS CONNECTICUT","New",139.77,6.07695652173913
"FIDELITY DEVIL","Horror",138.79,6.609047619047619
"CENTER DINOSAUR","Classics",137.76,5.74
"COMA HEAD","Travel",137.74,5.297692307692308
"QUEEN LUKE","Drama",136.78,6.217272727272728
"NAME DETECTIVE","Games",136.77,5.946521739130435
"CONEHEADS SMOOCHY","Drama",136.75,5.47
"GLEAMING JAWBREAKER","Sports",136.7,4.713793103448276
"PULP BEVERLY","Horror",136.7,4.556666666666667
"YENTL IDAHO","Horror",135.77,5.903043478260869
"FLINTSTONES HAPPINESS","Comedy",134.83,7.931176470588236
"WHALE BIKINI","Foreign",134.82,7.49
"HUNCHBACK IMPOSSIBLE","Drama",134.8,6.74
"DETAILS PACKER","Games",133.81,7.042631578947368
"PINOCCHIO SIMON","Comedy",133.8,6.69
"SUSPECTS QUILLS","Action",133.7,4.456666666666667
"NETWORK PEAK","Family",133.69,4.31258064516129
"HEARTBREAKERS BRIGHT","Children",132.8,6.64
"BEAUTY GREASE","Drama",132.78,6.035454545454545
"KISS GLORY","Foreign",132.78,6.035454545454545
"LIAISONS SWEET","Travel",131.78,5.99
"ALADDIN CALENDAR","Sports",131.77,5.729130434782609
"SLEEPING SUSPECTS","Horror",131.76,5.49
"METROPOLIS COMA","Sci-Fi",131.74,5.066923076923077
"BINGO TALENTED","Sci-Fi",131.71,4.541724137931035
"ROAD ROXANNE","Documentary",130.81,6.884736842105263
"MILLION ACE","Classics",130.8,6.54
"RIDGEMONT SUBMARINE","New",130.68,4.08375
"SATISFACTION CONFIDENTIAL","Sports",129.83,7.6370588235294115
"HEAVYWEIGHTS BEAST","Documentary",129.77,5.642173913043479
"DAWN POND","Games",128.82,7.156666666666666
"INTERVIEW LIAISONS","New",128.8,6.44
"CAUSE DATE","Documentary",128.79,6.132857142857143
"CANDLES GRAPES","Games",128.77,5.598695652173913
"FORWARD TEMPLE","Games",128.68,4.02125
"TEEN APOLLO","Travel",127.83,7.5194117647058825
"SOMETHING DUCK","Drama",127.81,6.726842105263158
"SNATCH SLIPPER","Comedy",127.78,5.808181818181819
"FALCON VOLUME","Animation",127.77,5.807727272727273
"TRAP GUYS","Foreign",126.84,7.9275
"MISSION ZOOLANDER","Animation",126.82,7.045555555555556
"AGENT TRUMAN","Foreign",126.79,6.037619047619048
"SABRINA MIDNIGHT","Children",126.79,6.037619047619048
"FREDDY STORM","Horror",126.77,5.5117391304347825
"STRANGERS GRAFFITI","Horror",123.83,7.284117647058824
"DOORS PRESIDENT","Animation",123.81,6.516315789473684
"MALTESE HOPE","Games",123.78,5.626363636363636
"BUTTERFLY CHOCOLAT","New",123.7,4.123333333333333
"TIMBERLAND SKY","Classics",123.69,3.99
"WATERFRONT DELIVERANCE","Action",121.83,7.166470588235294
"SLEEPLESS MONSOON","Animation",121.8,6.09
"TRUMAN CRAZY","Action",121.77,5.294347826086956
"SCARFACE BANG","Children",120.82,6.7122222222222225
"HIGH ENCINO","Horror",120.78,5.49
"RAGE GAMES","Family",119.81,6.305789473684211
"GHOST GROUNDHOG","Children",119.79,5.704285714285715
"ANGELS LIFE","New",119.78,5.444545454545454
"WASH HEAVENLY","Foreign",119.77,5.207391304347826
"LADY STAGE","Horror",118.83,6.99
"DESERT POSEIDON","Horror",118.81,6.253157894736842
"PHILADELPHIA WIFE","Sports",118.78,5.164347826086956
"VIRTUAL SPOILERS","Family",117.86,8.418571428571429
"THIEF PELICAN","Animation",117.81,6.200526315789474
"BROOKLYN DESERT","Foreign",116.79,5.561428571428571
"SECRET GROUNDHOG","Documentary",116.79,5.561428571428571
"KNOCK WARLOCK","Comedy",116.76,4.865
"HANKY OCTOBER","Sci-Fi",116.74,4.49
"ROCKETEER MOTHER","Foreign",116.67,3.5354545454545456
"GALAXY SWEETHEARTS","Classics",115.82,6.434444444444444
"PREJUDICE OLEANDER","Classics",115.8,5.79
"SPICE SORORITY","Drama",115.8,5.79
"BEVERLY OUTLAW","Sci-Fi",115.79,5.513809523809524
"DRIVING POLISH","Music",115.79,5.513809523809524
"CONVERSATION DOWNHILL","Family",114.83,6.754705882352941
"UNDEFEATED DALMATIONS","Horror",114.79,5.4661904761904765
"ARACHNOPHOBIA ROLLERCOASTER","Horror",114.76,4.781666666666666
"IDOLS SNATCHERS","Children",114.7,3.8233333333333333
"HANGING DEEP","Drama",113.81,5.99
"REDEMPTION COMFORTS","New",113.8,5.69
"OPEN AFRICAN","Sci-Fi",113.79,5.418571428571429
"STRICTLY SCARFACE","Comedy",113.77,4.946521739130435
"SECRETARY ROUGE","Sports",112.82,6.267777777777778
"HORN WORKING","Animation",112.76,4.698333333333333
"CLUELESS BUCKET","Action",112.75,4.51
"GANGS PRIDE","Animation",112.73,4.175185185185185
"BIRDS PERDITION","New",111.82,6.2122222222222225
"SWEDEN SHINING","Comedy",111.81,6.211666666666667
"MONEY HAROLD","New",111.8,5.59
"FARGO GANDHI","Children",111.76,4.656666666666666
"PANKY SUBMARINE","Games",110.85,7.39
"DUDE BLINDNESS","Sports",110.84,6.9275
"EXPECATIONS NATURAL","Travel",110.82,6.156666666666666
"CHASING FIGHT","Family",110.81,5.5405
"REQUIEM TYCOON","Classics",110.81,5.832105263157895
"REIGN GENTLEMEN","Sci-Fi",110.8,5.54
"TOMORROW HUSTLER","Classics",110.75,4.43
"GRIT CLOCKWORK","Games",110.68,3.45875
"DAY UNFAITHFUL","New",109.86,7.847142857142857
"BREAKFAST GOLDFINGER","New",109.83,6.460588235294118
"SHAWSHANK BUBBLE","Travel",109.81,5.779473684210526
"JET NEIGHBORS","Foreign",109.8,5.49
"GREATEST NORTH","Music",109.71,3.7831034482758623
"FISH OPUS","Sci-Fi",108.75,4.35
"SAMURAI LION","New",108.75,4.35
"COMMAND DARLING","Foreign",107.84,6.74
"ROCKY WAR","Drama",107.84,6.74
"JERK PAYCHECK","Classics",107.8,5.39
"BEAR GRACELAND","Children",107.78,4.899090909090909
"SOUTH WAIT","Action",107.78,4.899090909090909
"FATAL HAUNTED","New",107.72,3.847142857142857
"CUPBOARD SINNERS","Documentary",106.77,4.642173913043479
"SALUTE APOLLO","New",106.77,4.642173913043479
"GIANT TROOPERS","Children",106.72,3.8114285714285714
"LEAGUE HELLFIGHTERS","Classics",105.83,6.225294117647059
"SUGAR WONKA","Animation",105.83,6.225294117647059
"GORGEOUS BINGO","Children",105.81,5.568947368421052
"PEAK FOREVER","Sports",105.8,5.29
"EGG IGBY","Documentary",105.79,5.037619047619048
"ROBBERS JOON","Children",105.69,3.4093548387096773
"WEST LION","Drama",104.84,6.5525
"STEPMOM DREAM","Foreign",104.8,5.24
"ARIZONA BANG","Classics",104.79,4.99
"HYDE DOCTOR","Classics",104.73,4.028076923076923
"TYCOON GATHERING","Games",103.88,8.656666666666666
"CORE SUIT","Classics",103.82,5.767777777777778
"DRAGONFLY STRANGERS","New",103.82,5.767777777777778
"METAL ARMAGEDDON","Documentary",103.75,4.15
"INVASION CYCLONE","Children",103.73,3.841851851851852
"ENGLISH BULWORTH","Sci-Fi",103.7,3.4566666666666666
"BILKO ANONYMOUS","Family",102.87,7.913076923076923
"CONFUSED CANDLES","Family",102.83,6.048823529411765
"FRENCH HOLIDAY","Documentary",102.83,6.048823529411765
"AIRPORT POLLOCK","Horror",102.82,5.7122222222222225
"GROUNDHOG UNCUT","Comedy",102.82,5.7122222222222225
"PATTON INTERVIEW","Horror",102.77,4.468260869565217
"ATTACKS HATE","Sci-Fi",101.84,6.365
"PAYCHECK WAIT","Drama",101.84,6.365
"RULES HUMAN","Horror",101.84,6.365
"BROTHERHOOD BLANKET","Documentary",101.74,3.913076923076923
"CAMELOT VACATION","Sci-Fi",101.73,3.767777777777778
"BEHAVIOR RUNAWAY","Horror",100.87,7.759230769230769
"QUILLS BULL","Documentary",100.84,6.3025
"POSEIDON FOREVER","Sports",100.83,5.931176470588236
"ICE CROSSING","Games",100.76,4.198333333333333
"JASON TRAP","Family",100.76,4.198333333333333
"CONQUERER NUTS","Drama",99.84,6.24
"MERMAID INSECTS","Sports",99.84,6.24
"IGBY MAKER","Travel",99.81,5.253157894736842
"SHOCK CABIN","Foreign",99.7,3.3233333333333333
"HALL CASSIDY","Children",98.84,6.1775
"PICKUP DRIVING","Sports",98.84,6.1775
"BIKINI BORROWERS","Animation",98.83,5.813529411764706
"HANOVER GALAXY","Music",98.83,5.813529411764706
"JERICHO MULAN","Games",98.83,5.813529411764706
"BALLOON HOMEWARD","Music",98.77,4.294347826086956
"SWEETHEARTS SUSPECTS","Children",98.71,3.403793103448276
"MARRIED GO","Sci-Fi",98.7,3.29
"WIZARD COLDBLOODED","Music",97.84,6.115
"HELLFIGHTERS SIERRA","Foreign",97.8,4.89
"SEA VIRGIN","Drama",97.78,4.444545454545454
"EXPENDABLE STALLION","Documentary",97.72,3.49
"DESTINY SATURDAY","New",96.84,6.0525
"CANDIDATE PERDITION","Classics",96.81,5.378333333333333
"VACATION BOONDOCK","Sci-Fi",96.79,4.609047619047619
"BARBARELLA STREETCAR","Sci-Fi",96.75,3.87
"DEER VIRGINIAN","Music",96.72,3.3351724137931034
"JUGGLER HARDLY","Animation",96.68,3.02125
"DAISY MENAGERIE","Sci-Fi",95.84,5.99
"INCH JET","Animation",95.82,5.323333333333333
"OZ LIAISONS","Animation",95.76,3.99
"SEABISCUIT PUNK","Sports",95.74,3.6823076923076923
"MUSCLE BRIGHT","Travel",95.7,3.19
"GOLD RIVER","Comedy",94.86,6.775714285714286
"SPY MILE","Games",94.73,3.5085185185185184
"MODEL FISH","Children",93.85,6.256666666666667
"DYING MAKER","Comedy",93.83,5.5194117647058825
"VIRGIN DAISY","Drama",93.83,5.5194117647058825
"DARN FORRESTER","Action",93.82,5.2122222222222225
"COLOR PHILADELPHIA","Classics",93.76,3.9066666666666667
"WARDROBE PHANTOM","Drama",93.73,3.4714814814814816
"BRIGHT ENCOUNTERS","Drama",92.87,7.1438461538461535
"FLASH WARS","New",92.87,7.1438461538461535
"EDGE KISSING","Drama",92.85,6.19
"PURE RUNNER","Comedy",92.84,5.8025
"MUSKETEERS WAIT","Classics",92.83,5.460588235294118
"SLEEPY JAPANESE","New",92.8,4.419047619047619
"SILVERADO GOLDFINGER","Sci-Fi",91.88,7.656666666666666
"BETRAYED REAR","Children",91.85,6.123333333333333
"SAGEBRUSH CLUELESS","Documentary",91.84,5.74
"SLACKER LIAISONS","Drama",91.83,5.401764705882353
"AFFAIR PREJUDICE","Horror",91.77,3.99
"HALF OUTFIELD","Family",91.75,3.5288461538461537
"TELEMARK HEARTBREAKERS","Animation",91.75,3.67
"BLACKOUT PRIVATE","Animation",91.73,3.397407407407407
"CONNECTICUT TRAMP","Sci-Fi",90.87,6.99
"CAMPUS REMEMBER","Action",90.81,4.779473684210526
"BASIC EASY","Travel",90.79,4.323333333333333
"ALIEN CENTER","Foreign",90.78,4.126363636363636
"FLATLINERS KILLER","Sports",90.78,4.126363636363636
"ELEPHANT TROJAN","Horror",89.86,6.418571428571429
"CHICAGO NORTH","Games",89.84,5.615
"COLDBLOODED DARLING","Sci-Fi",89.84,5.615
"DISTURBING SCARFACE","Sci-Fi",89.74,3.4515384615384614
"PITTSBURGH HUNCHBACK","Family",88.88,7.406666666666666
"MEMENTO ZOOLANDER","Comedy",88.87,6.836153846153846
"MOONWALKER FOOL","Games",88.87,6.836153846153846
"LOSER HUSTLER","Sports",88.85,5.923333333333333
"PANTHER REDS","Sci-Fi",88.85,5.923333333333333
"SUBMARINE BED","Comedy",88.85,5.923333333333333
"PLUTO OLEANDER","New",88.84,5.5525
"RUSH GOODFELLAS","Family",88.69,2.8609677419354838
"CINCINATTI WHISPERER","Sci-Fi",87.87,6.759230769230769
"HYSTERICAL GRAIL","Sports",87.85,5.8566666666666665
"FORREST SONS","Action",87.82,4.878888888888889
"VANISHING ROCKY","Music",87.82,4.878888888888889
"NORTHWEST POLISH","Sports",87.8,4.39
"ATLANTIS CAUSE","Family",87.76,3.6566666666666667
"HORROR REIGN","Travel",87.73,3.2492592592592593
"OPERATION OPERATION","Comedy",87.73,3.2492592592592593
"SUPER WYOMING","Family",86.87,6.682307692307693
"JEEPERS WEDDING","Classics",86.84,5.4275
"LAWLESS VISION","Animation",86.84,5.108235294117647
"WANDA CHAMBER","Games",86.84,5.4275
"JEKYLL FROGMEN","New",86.83,5.107647058823529
"STAR OPERATION","Sports",86.79,4.132857142857143
"STRANGELOVE DESIRE","Children",86.76,3.615
"CHAMPION FLATLINERS","Animation",85.87,6.605384615384615
"ANTHEM LUKE","Comedy",85.85,5.723333333333334
"STEERS ARMAGEDDON","Sports",85.85,5.723333333333334
"HURRICANE AFFAIR","Comedy",85.76,3.5733333333333333
"CLASH FREDDY","Animation",85.75,3.43
"CONTACT ANONYMOUS","Travel",85.74,3.2976923076923077
"ISLAND EXORCIST","Classics",85.74,3.2976923076923077
"TRACY CIDER","Animation",85.74,3.2976923076923077
"AUTUMN CROW","Games",84.89,7.717272727272728
"RAGING AIRPLANE","Sci-Fi",84.87,6.5284615384615385
"PEACH INNOCENT","Sports",84.85,6.060714285714286
"COMFORTS RUSH","Travel",84.83,4.99
"BLUES INSTINCT","Family",84.79,4.037619047619048
"MURDER ANTITRUST","Children",84.77,3.6856521739130437
"DOWNHILL ENOUGH","Comedy",84.75,3.39
"MALKOVICH PET","Classics",84.74,3.2592307692307694
"NONE SPIKING","Sci-Fi",84.73,3.138148148148148
"CALIFORNIA BIRDS","Sports",83.88,6.99
"DEVIL DESIRE","Action",83.85,5.59
"CAROL TEXAS","Animation",83.82,4.656666666666666
"EYES DRIVING","Sci-Fi",83.81,4.411052631578947
"FLYING HOOK","Animation",83.8,4.19
"WAIT CIDER","Animation",83.79,3.99
"OSCAR GOLD","Animation",83.75,3.35
"DARKO DORADO","Action",82.89,7.535454545454545
"CREEPERS KANE","Classics",82.86,5.918571428571429
"AIRPLANE SIERRA","Comedy",82.85,5.523333333333333
"HOLIDAY GAMES","Foreign",82.85,5.523333333333333
"CASABLANCA SUPER","Travel",82.84,5.1775
"WORDS HUNTER","Music",82.84,5.1775
"NATIONAL STORY","Documentary",82.81,4.358421052631579
"UNBREAKABLE KARATE","New",82.79,3.9423809523809523
"SHAKESPEARE SADDLE","Sports",82.78,3.7627272727272727
"PATHS CONTROL","Drama",81.9,8.19
"SWEET BROTHERHOOD","Travel",81.85,5.456666666666667
"TROJAN TOMORROW","Sci-Fi",81.8,4.3052631578947365
"DREAM PICKUP","Action",81.78,3.7172727272727273
"GENTLEMEN STAGE","Foreign",81.77,3.555217391304348
"GOLDFINGER SENSIBILITY","Drama",81.76,3.4066666666666667
"WEDDING APOLLO","Documentary",81.76,3.4066666666666667
"LOSE INCH","Foreign",81.73,3.027037037037037
"GRAFFITI LOVE","Sci-Fi",81.7,2.723333333333333
"HOBBIT ALIEN","Drama",81.69,2.6351612903225807
"TIES HUNGER","Children",80.89,7.3536363636363635
"DEEP CRUSADE","Documentary",80.86,5.775714285714286
"CHARADE DUFFEL","Sci-Fi",80.85,5.39
"HUMAN GRAFFITI","Games",80.85,5.39
"IDAHO LOVE","New",80.83,4.754705882352941
"ORIENT CLOSER","Drama",80.83,4.754705882352941
"ESCAPE METROPOLIS","Travel",80.75,3.23
"VAMPIRE WHALE","New",79.88,6.656666666666666
"HOME PITY","Music",79.86,5.704285714285715
"BAKED CLEOPATRA","Family",79.84,4.99
"SONS INTERVIEW","Animation",79.84,5.322666666666667
"FERRIS MOTHER","Comedy",79.83,4.695882352941177
"PARADISE SABRINA","Comedy",79.82,4.434444444444444
"TROUBLE DATE","Travel",79.78,3.468695652173913
"OTHERS SOUP","Travel",79.77,3.4682608695652175
"JUMPING WRATH","Children",79.76,3.3233333333333333
"WEREWOLF LOLA","Action",78.86,5.632857142857143
"INTENTIONS EMPIRE","Animation",78.83,4.6370588235294115
"BERETS AGENT","Action",78.78,3.7514285714285713
"BOILED DARES","Travel",77.85,5.19
"LONELY ELEPHANT","Comedy",77.85,5.19
"JACKET FRISCO","Drama",77.82,4.323333333333333
"HARPER DYING","Animation",77.8,3.89
"QUEST MUSSOLINI","Action",77.8,3.89
"CROSSROADS CASUALTIES","Animation",77.79,3.704285714285714
"MALLRATS UNITED","Comedy",77.75,3.11
"BEAST HUNCHBACK","Classics",76.89,6.99
"TUXEDO MILE","Sports",76.87,5.913076923076923
"BLINDNESS GUN","Sci-Fi",76.86,5.49
"GRINCH MASSAGE","Games",76.86,5.49
"IMAGE PRINCESS","Sports",76.86,5.49
"MADISON TRAP","Documentary",76.85,5.123333333333333
"BADMAN DAWN","Sci-Fi",76.79,3.6566666666666667
"FROST HEAD","Classics",76.7,2.5566666666666666
"STRANGER STRANGERS","Children",75.89,6.899090909090909
"LIBERTY MAGNIFICENT","Sports",75.88,6.323333333333333
"DADDY PITTSBURGH","Comedy",75.87,5.836153846153846
"CONFESSIONS MAGUIRE","Drama",75.86,5.418571428571429
"HOLES BRANNIGAN","Sports",75.86,5.057333333333333
"SEARCHERS WAIT","Comedy",75.86,5.418571428571429
"HOPE TOOTSIE","Classics",75.82,4.2122222222222225
"BIRCH ANTITRUST","Music",74.89,6.808181818181819
"BRANNIGAN SUNRISE","New",74.88,6.24
"IMPOSSIBLE PREJUDICE","Foreign",74.86,5.347142857142857
"LUST LOCK","Action",74.82,4.988
"WEEKEND PERSONAL","Sci-Fi",74.82,4.156666666666666
"HOMICIDE PEACH","Family",74.78,3.399090909090909
"HOUSE DYNAMITE","Family",74.77,3.2508695652173913
"DOUBLE WRATH","Animation",74.75,2.99
"THIN SAGEBRUSH","Documentary",73.89,6.717272727272728
"CHISUM BEHAVIOR","Family",73.87,5.682307692307693
"OUTLAW HANKY","Travel",73.86,5.275714285714286
"WORST BANGER","Action",73.84,4.615
"ZOOLANDER FICTION","Children",73.83,4.342941176470588
"REMEMBER DIARY","Family",73.82,4.101111111111111
"FANTASIA PARK","Games",73.81,3.884736842105263
"INSIDER ARIZONA","Music",73.8,3.69
"DOOM DANCING","Comedy",73.79,3.513809523809524
"SINNERS ATLANTIS","Horror",73.78,3.3536363636363635
"MADNESS ATTACKS","Foreign",73.75,2.95
"CASUALTIES ENCINO","Action",72.91,8.101111111111111
"PAST SUICIDES","Foreign",72.87,5.605384615384615
"WYOMING STORM","New",72.87,5.605384615384615
"GAMES BOWFINGER","Travel",72.86,5.204285714285715
"EGYPT TENENBAUMS","Horror",72.83,4.284117647058824
"POTTER CONNECTICUT","Animation",72.83,4.284117647058824
"INSTINCT AIRPORT","Sports",72.82,4.045555555555556
"NEIGHBORS CHARADE","Sports",72.81,3.832105263157895
"LEBOWSKI SOLDIERS","Drama",72.79,3.466190476190476
"SNOWMAN ROLLERCOASTER","Animation",72.77,3.163913043478261
"HILLS NEIGHBORS","Action",72.75,2.91
"CARIBBEAN LIBERTY","Sports",71.91,7.99
"ALABAMA DEVIL","Horror",71.88,5.99
"BRINGING HYSTERICAL","Comedy",71.8,3.59
"CHARIOTS CONSPIRACY","Sci-Fi",71.79,3.4185714285714286
"SWARM GOLD","Horror",71.73,2.6566666666666667
"TEMPLE ATTRACTION","Horror",70.88,5.906666666666666
"JINGLE SAGEBRUSH","Classics",70.87,5.451538461538462
"SATURN NAME","Comedy",70.87,5.451538461538462
"USUAL UNTOUCHABLES","Foreign",70.87,5.451538461538462
"TURN STAR","Animation",70.86,5.061428571428571
"DINOSAUR SECRETARY","Family",70.8,3.54
"AMISTAD MIDSUMMER","New",70.79,3.370952380952381
"FAMILY SWEET","Horror",70.7,2.4379310344827587
"RUGRATS SHAKESPEARE","Action",70.7,2.356666666666667
"DAUGHTER MADIGAN","Children",69.91,7.767777777777778
"MOTHER OLEANDER","Sports",69.86,4.99
"ARTIST COLDBLOODED","Sports",69.84,4.365
"DRIVER ANNIE","Sports",69.82,3.878888888888889
"POLLOCK DELIVERANCE","Foreign",69.81,3.8783333333333334
"FLIGHT LIES","Sports",68.88,5.74
"GUNFIGHTER MUSSOLINI","Sports",68.88,5.74
"NOON PAPI","Children",68.83,4.048823529411765
"HONEY TIES","Sports",68.81,3.621578947368421
"CHICKEN HELLFIGHTERS","Documentary",68.78,3.1263636363636365
"DETECTIVE VISION","Classics",68.73,2.5455555555555556
"AMELIE HELLFIGHTERS","Music",67.9,6.79
"BILL OTHERS","Documentary",67.81,3.5689473684210524
"DIVIDE MONSTER","Sci-Fi",67.79,3.228095238095238
"EXCITEMENT EVE","Action",67.79,3.228095238095238
"ORANGE GRAPES","Foreign",67.76,2.8233333333333333
"KING EVOLUTION","Family",66.91,7.434444444444444
"TWISTED PIRATES","Children",66.89,6.080909090909091
"DANGEROUS UPTOWN","Foreign",66.88,5.573333333333333
"OPPOSITE NECKLACE","Family",66.87,5.1438461538461535
"BAREFOOT MANCHURIAN","Action",66.82,3.712222222222222
"WONKA SEA","Animation",66.82,3.712222222222222
"NORTH TEQUILA","Documentary",65.89,5.99
"OPUS ICE","Foreign",65.89,5.99
"CHAMBER ITALIAN","Music",65.88,5.067692307692307
"MEET CHOCOLATE","Foreign",65.88,5.49
"WAR NOTTING","Foreign",65.88,5.49
"LOVELY JINGLE","Classics",65.86,4.704285714285715
"CLONES PINOCCHIO","Music",65.81,3.4636842105263157
"FIDDLER LOST","Sci-Fi",64.9,6.49
"LOST BIRD","Foreign",64.88,5.406666666666666
"DIVINE RESURRECTION","Games",64.85,4.323333333333333
"MANCHURIAN CURTAIN","Family",64.85,4.323333333333333
"NASH CHOCOLAT","Animation",64.85,4.323333333333333
"BEACH HEARTBREAKERS","Documentary",64.83,3.813529411764706
"POND SEATTLE","Animation",64.81,3.4110526315789476
"GILMORE BOILED","Classics",64.72,2.3114285714285714
"BIRD INDEPENDENCE","Travel",63.89,5.808181818181819
"OCTOBER SUBMARINE","Classics",63.89,5.808181818181819
"JAWS HARRY","Comedy",63.86,4.561428571428571
"MASK PEACH","New",63.83,3.7547058823529413
"BOULEVARD MOB","New",63.82,3.5455555555555556
"FURY MURDER","Children",63.81,3.358421052631579
"LOATHING LEGALLY","Classics",63.73,2.3603703703703705
"HANDICAP BOONDOCK","Action",63.72,2.275714285714286
"LOVER TRUMAN","Classics",62.9,6.29
"GASLIGHT CRUSADE","Horror",62.84,3.9275
"REAP UNFAITHFUL","Horror",62.84,3.9275
"ALONE TRIP","Music",62.82,3.49
"JADE BUNCH","Sports",62.82,3.49
"CIDER DESIRE","Documentary",62.81,3.3057894736842104
"EARRING INSTINCT","Family",62.81,3.3057894736842104
"WRONG BEHAVIOR","Children",62.8,3.14
"PACIFIC AMISTAD","Documentary",62.76,2.615
"DYNAMITE TARZAN","Classics",62.75,2.51
"MOD SECRETARY","Documentary",61.89,5.626363636363636
"STATE WASTELAND","Games",61.88,4.76
"KICK SAVANNAH","Travel",61.8,3.09
"PARK CITIZEN","Action",60.92,7.615
"SPARTACUS CHEAPER","Family",60.91,6.767777777777778
"CIRCUS YOUTH","Children",60.85,4.056666666666667
"UPRISING UPTOWN","Action",60.84,3.8025
