"first_name","last_name","movie_count"
"TIM","HACKMAN",23
"ADAM","HOPPER",22
"CHRISTIAN","GABLE",22
"DAN","TORN",22
"ED","CHASE",22
"FAY","WOOD",22
"GENE","HOPKINS",22
"JENNIFER","DAVIS",22
"MERYL","ALLEN",22
"NICK","DEGENERES",22
"SYLVESTER","DERN",22
"CHRISTOPHER","WEST",21
"KENNETH","PALTROW",21
"KEVIN","BLOOM",21
"SPENCER","PECK",21
"SUSAN","DAVIS",21
"BETTE","NICHOLSON",20
"CHRIS","DEPP",20
"CHRISTOPHER","BERRY",20
"FAY","KILMER",20
"KENNETH","PESCI",20
"MATTHEW","JOHANSSON",20
"MINNIE","KILMER",20
"RITA","REYNOLDS",20
"THORA","TEMPLE",20
"CAMERON","WRAY",19
"PENELOPE","GUINESS",19
"RUSSELL","CLOSE",19
"SANDRA","PECK",19
"ADAM","GRANT",18
"SISSY","SOBIESKI",18
"JULIA","ZELLWEGER",16
"JUDY","DEAN",15
"JULIA","FAWCETT",15
"EMILY","DEE",14
